myFlowerExperiment | INFO flwr 2024-02-17 00:12:35,274 | app.py:146 | Starting Flower simulation, config: ServerConfig(num_rounds=200, round_timeout=None)
myFlowerExperiment | INFO flwr 2024-02-17 00:12:37,852 | app.py:180 | Flower VCE: Ray initialized with resources: {'node:__internal_head__': 1.0, 'CPU': 8.0, 'memory': 19216102196.0, 'object_store_memory': 9608051097.0, 'node:10.17.0.243': 1.0}
myFlowerExperiment | INFO flwr 2024-02-17 00:12:37,852 | server.py:86 | Initializing global parameters
myFlowerExperiment | INFO flwr 2024-02-17 00:12:37,852 | server.py:273 | Requesting initial parameters from one random client
myFlowerExperiment | INFO flwr 2024-02-17 00:12:40,767 | server.py:277 | Received initial parameters from one random client
myFlowerExperiment | INFO flwr 2024-02-17 00:12:40,767 | server.py:88 | Evaluating initial parameters
myFlowerExperiment | INFO flwr 2024-02-17 00:12:52,175 | server.py:91 | initial parameters (loss, other metrics): 0.6328119039535522, {'accuracy': 0.6948727965354919}
myFlowerExperiment | INFO flwr 2024-02-17 00:12:52,175 | server.py:101 | FL starting
myFlowerExperiment | DEBUG flwr 2024-02-17 00:12:52,175 | server.py:218 | fit_round 1: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 00:13:56,216 | server.py:232 | fit_round 1 received 19 results and 0 failures
myFlowerExperiment | WARNING flwr 2024-02-17 00:13:56,226 | fedavg.py:243 | No fit_metrics_aggregation_fn provided
myFlowerExperiment | INFO flwr 2024-02-17 00:14:06,846 | server.py:119 | fit progress: (1, 0.5894529819488525, {'accuracy': 0.7163869142532349}, 74.67095953599892)
myFlowerExperiment | DEBUG flwr 2024-02-17 00:14:06,846 | server.py:168 | evaluate_round 1: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 00:14:10,769 | server.py:182 | evaluate_round 1 received 0 results and 19 failures
myFlowerExperiment | DEBUG flwr 2024-02-17 00:14:10,769 | server.py:218 | fit_round 2: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 00:15:10,407 | server.py:232 | fit_round 2 received 19 results and 0 failures
myFlowerExperiment | INFO flwr 2024-02-17 00:15:21,851 | server.py:119 | fit progress: (2, 0.5992807149887085, {'accuracy': 0.7150747179985046}, 149.67581205299757)
myFlowerExperiment | DEBUG flwr 2024-02-17 00:15:21,851 | server.py:168 | evaluate_round 2: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 00:15:25,522 | server.py:182 | evaluate_round 2 received 0 results and 19 failures
myFlowerExperiment | DEBUG flwr 2024-02-17 00:15:25,522 | server.py:218 | fit_round 3: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 00:16:24,420 | server.py:232 | fit_round 3 received 19 results and 0 failures
myFlowerExperiment | INFO flwr 2024-02-17 00:16:34,944 | server.py:119 | fit progress: (3, 0.5954037308692932, {'accuracy': 0.72109454870224}, 222.7695141159984)
myFlowerExperiment | DEBUG flwr 2024-02-17 00:16:34,945 | server.py:168 | evaluate_round 3: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 00:16:38,744 | server.py:182 | evaluate_round 3 received 0 results and 19 failures
myFlowerExperiment | DEBUG flwr 2024-02-17 00:16:38,744 | server.py:218 | fit_round 4: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 00:17:38,024 | server.py:232 | fit_round 4 received 19 results and 0 failures
myFlowerExperiment | INFO flwr 2024-02-17 00:17:48,744 | server.py:119 | fit progress: (4, 0.5827149748802185, {'accuracy': 0.7416597604751587}, 296.56894345)
myFlowerExperiment | DEBUG flwr 2024-02-17 00:17:48,744 | server.py:168 | evaluate_round 4: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 00:17:52,410 | server.py:182 | evaluate_round 4 received 0 results and 19 failures
myFlowerExperiment | DEBUG flwr 2024-02-17 00:17:52,411 | server.py:218 | fit_round 5: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 00:18:51,321 | server.py:232 | fit_round 5 received 19 results and 0 failures
myFlowerExperiment | INFO flwr 2024-02-17 00:19:01,973 | server.py:119 | fit progress: (5, 0.5848392248153687, {'accuracy': 0.7441729307174683}, 369.79796074799924)
myFlowerExperiment | DEBUG flwr 2024-02-17 00:19:01,973 | server.py:168 | evaluate_round 5: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 00:19:05,591 | server.py:182 | evaluate_round 5 received 0 results and 19 failures
myFlowerExperiment | DEBUG flwr 2024-02-17 00:19:05,592 | server.py:218 | fit_round 6: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2024-02-17 00:20:06,266 | server.py:232 | fit_round 6 received 19 results and 0 failures
